First Movement,Primeiro Movimento,Produza aura com seu primeiro movimento.,pt-BR
Six,Six,Faça seu primeiro Six.,pt-BR
Seven,Seven,Faça seu primeiro Seven.,pt-BR
SixSeven!,SixSeven!,Farme um total de 67 de aura.,pt-BR
First Purchase,Primeira Aquisição,Compre sua primeira melhoria.,pt-BR
Now It Runs Itself,Agora Vai Sozinho,Comece a produzir aura automaticamente.,pt-BR
Aura Never Sleeps,A Aura Não Dorme,Colete aura produzida enquanto você estava fora.,pt-BR
A Hundred or So,Cento e Poucos,Realize 100 movimentos manuais.,pt-BR
Hands at Work,Mãos à Obra,Realize 1.000 movimentos manuais.,pt-BR
Spiritual Tendinitis,Tendinite Espiritual,Realize 10.000 movimentos manuais.,pt-BR
Rookie Aura,Aura de Cria,Farme um total de mil de aura.,pt-BR
Industrial Aura,Aura Industrial,Farme um total de um milhão de aura.,pt-BR
Legendary Aura,Aura Lendária,Farme um total de um bilhão de aura.,pt-BR
Cosmic Aura,Aura Cósmica,Farme um total de um trilhão de aura.,pt-BR
This Is Escalating,Isso Está Escalando,Farme um total de um quintilhão de aura.,pt-BR
Collector,Colecionador,Desbloqueie dez itens diferentes.,pt-BR
Complete Catalog,Catálogo Completo,Desbloqueie todos os itens do catálogo original.,pt-BR
A Solid Cast,Elenco de Respeito,Desbloqueie três Transformações de Aura.,pt-BR
Everyone Has Aura,Todo Mundo Tem Aura,Desbloqueie todas as Transformações de Aura originais.,pt-BR
Maximum Aura,Aura Máxima,Alcance o estado visual máximo de aura.,pt-BR
Forty Two,Forty Two,Desbloqueie a resposta para a vida o universo e tudo mais.,pt-BR
Seven Days of Aura,Sete Dias de Aura,Jogue Aura Shift em sete dias diferentes.,pt-BR
Faithful to the Farm,Fiel ao Farm,Jogue Aura Shift em trinta dias diferentes.,pt-BR
Sixty-Seven per Second,Sessenta e Sete por Segundo,Produza pelo menos 67 de aura por segundo.,pt-BR
Serious Production,Produção de Respeito,Produza pelo menos um milhão de aura por segundo.,pt-BR
One Absurd Movement,Um Movimento Absurdo,Produza um milhão de aura em um único movimento.,pt-BR
